nombre,direccion,latitud,longitud,numero_copas,numero_taza,numero_cubiertos,tipo
ESQUINA DE CHEITO LA ,AV. 20,-0.9620577,-80.7048954,1,0,0,Bar
CASA DE EVENTOS CORMORAN,"24,AV. M2",-0.9463147,-80.7340323,0,0,1,Restaurante
LA TABLITA DEL TARTARO,AV. 24 DE NOVIEMBRE P2-039 ENTRE AVENIDA 23 Y CALLE 20 C. C. MALL DEL PACIFICO,-0.9422414,-80.7330797,0,0,1,Restaurante
PIZZA PAPA JOHN'S,PRINCIPAL- VIA BARBASQUILLO S/N CENTRO COMERCIAL LA QUADRA LOCAL E22-E23,-0.9420162,-80.7322805,0,0,1,Restaurante
MENESTRAS DEL NEGRO,"AV. 4 DE NOVIEMBRE,CALLE 113",-0.9424677,-80.7328053,0,0,1,Restaurante
MENESTRAS DEL NEGRO,"AV. MALECON,AV. 23",-0.9424677,-80.7328053,0,0,1,Restaurante
CASA RES,"AV. MALECON,AV. 23",-0.9420319,-80.7324736,0,0,1,Restaurante
CAJUN,"AV MALECON,AV. 23",-0.9425085,-80.7327743,0,0,1,Restaurante
EL ESPAÑOL,"AV. MALECON,AV. 23",-1.0682479,-80.8701263,0,1,0,Cafetería
AMERICAN DELI,"AV. MALECON,AV 23",-0.9420605,-80.7323291,0,0,1,Restaurante
LOS CEBICHES DE LA RUMIÑAHUI,AV. VEINTE Y TRES S/N CALLE VEINTE C. C. MALL DEL PACIFICO,-0.9419745,-80.7327625,0,0,1,Restaurante
PIZZA HUT,calle 20 av 23 av malecon,-0.9420162,-80.7322805,0,0,1,Restaurante
